Location,HealyWarningsOnSmoking,MostSoldBrandCigaretteCurrency,MostSoldBrandCigarettePrice,TreatmentInHealthFacilities,BanOnEducationalFacilites,BanOnGovernmentFacilites,BanOnHealthcareFacilites,BanOnIndoorOffices,BanOnPublicTransport,BanOnPubsAndBars,BanOnRestaurants,BanOnUniversities,RegulationsOnSmokeFreeEnvironments,Year,CigaretteSmokingPrevalence_estimate,CigaretteSmokingPrevalence_ci_low,CigaretteSmokingPrevalence_ci_high,TobaccoSmokingPrevalence_estimate,TobaccoSmokingPrevalence_ci_low,TobaccoSmokingPrevalence_ci_high,TobaccoUsePrevalance_estimate,TobaccoUsePrevalance_ci_low,TobaccoUsePrevalance_ci_high
Albania,No,All,130.0,,,,,,,,,,,2008,46.8,35.3,56.3,54.4,45.0,66.6,54.4,45.0,66.6
Algeria,No,DZD,70.0,No,,,,,,,,,3.0,2008,12.1,6.7,17.6,15.9,11.2,21.1,20.8,11.3,30.3
Andorra,,,,No,,,,,,,,,,2008,28.9,19.0,41.1,35.1,26.3,44.9,35.1,26.3,44.9
Argentina,,ARS,3.8,Yes in some,,,,,,,,,,2008,28.3,23.0,33.6,31.2,25.5,37.1,34.1,27.2,42.8
Armenia,,AMD,500.0,Yes in some,,,,,,,,,,2008,29.2,24.3,34.1,31.3,26.4,36.6,31.3,26.4,36.6
Australia,No,AUD,9.6,Yes in most,,,,,,,,,,2008,16.1,10.7,21.1,19.7,16.4,22.8,22.4,18.5,26.2
Austria,No,EUR,3.6,Yes in some,,,,,,,,,,2008,36.7,28.6,45.1,39.4,30.8,47.6,39.4,30.8,47.6
Azerbaijan,,AZN,0.7,No,,,,,,,,,,2008,19.3,13.1,26.4,24.2,15.0,32.3,24.2,15.0,32.3
Bahamas,,BSD,2.69,No,,,,,,,,,,2008,3.1,1.4,5.2,18.5,11.7,26.3,18.5,11.7,26.3
Bahrain,,BHD,0.6,Yes in most,,,,,,,,,,2008,14.6,10.7,18.8,34.8,26.6,43.3,26.5,16.9,37.3
Bangladesh,,BDT,15.0,Yes in some,,,,,,,,,0.0,2008,22.0,17.3,27.0,3.0,2.1,3.8,45.5,36.8,54.7
Barbados,,BBD,11.0,No,,,,,,,,,,2008,2.0,1.0,3.1,2.6,1.6,4.0,2.7,1.7,3.8
Belarus,,BYR,860.0,Yes in some,,,,,,,,,,2008,30.4,24.7,35.7,32.6,26.9,38.0,32.6,26.9,38.0
Belgium,No,EUR,4.16,Yes in some,,,,,,,,,,2008,26.0,20.6,31.7,27.8,22.8,33.3,27.8,22.8,33.3
Benin,No,XOF,500.0,No,,,,,,,,,1.0,2008,10.4,7.3,13.9,14.5,11.0,18.4,20.2,16.2,25.4
Bosnia and Herzegovina,,BAM,2.0,Yes in most,,,,,,,,,,2008,34.7,24.9,43.8,42.8,33.2,53.0,42.8,33.2,53.0
Botswana,,BWP,17.5,Yes in some,,,,,,,,,,2008,24.9,15.8,34.5,31.8,23.6,40.7,27.7,21.1,34.5
Brazil,No,BRL,2.4,Yes in some,,,,,,,,,,2008,17.0,13.4,20.5,19.2,16.1,23.1,25.0,18.9,31.1
Brunei Darussalam,No,BND,2.24,Yes in some,,,,,,,,,,2008,24.5,15.6,33.7,29.2,21.3,36.4,29.2,21.3,36.4
Bulgaria,No,BGN,2.9,Yes in some,,,,,,,,,,2008,41.3,32.9,50.3,44.8,36.2,54.2,44.8,36.2,54.2
Burkina Faso,No,XOF,500.0,No,,,,,,,,,2.0,2008,11.2,8.2,14.2,25.2,19.6,31.6,22.7,16.4,29.0
Burundi,,BIF,600.0,No,,,,,,,,,,2008,18.1,11.1,26.8,21.3,13.2,31.2,23.9,16.7,32.0
Cambodia,,USD,0.3,Yes in some,,,,,,,,,,2008,4.4,3.6,5.3,4.7,3.9,5.5,34.6,28.5,40.8
Cameroon,No,XAF,500.0,Yes in some,,,,,,,,,0.0,2008,15.2,10.4,19.7,15.2,10.4,19.7,2.0,1.4,2.6
Canada,,CAD,7.86,Yes in most,,,,,,,,,,2008,20.0,16.9,23.1,20.7,17.4,23.8,28.1,22.5,34.1
Chad,No,XAF,500.0,No,,,,,,,,,,2008,12.5,8.9,17.3,10.0,7.2,12.7,22.6,15.6,31.0
Chile,Yes,CLP,1074.0,Yes in some,,,,,,,,,10.0,2008,38.3,30.2,45.6,49.6,35.7,64.2,49.6,35.7,64.2
China,,CNY,6.44,Yes in some,,,,,,,,,1.0,2008,25.0,20.7,30.0,27.3,22.1,32.1,27.3,22.1,32.1
Colombia,No,COP,1769.0,Yes in some,,,,,,,,,,2008,15.9,11.2,20.5,17.9,13.1,23.8,17.9,13.1,23.8
Comoros,,KMF,500.0,,,,,,,,,,,2008,22.0,16.5,27.6,26.5,21.5,33.1,30.4,23.1,38.7
Congo,,XAF,500.0,No,,,,,,,,,,2008,16.2,11.1,21.7,18.1,14.8,22.0,22.2,16.8,28.0
Cook Islands,No,NZD,8.2,Yes in most,,,,,,,,,,2008,28.6,17.7,39.4,35.7,27.6,44.4,35.7,27.6,44.4
Costa Rica,,CRC,750.0,Yes in some,,,,,,,,,7.0,2008,18.7,14.4,23.9,20.8,16.0,26.1,20.8,16.0,26.1
Croatia,No,HRK,15.0,Yes in some,,,,,,,,,,2008,31.8,24.0,39.0,35.3,28.6,42.4,35.3,28.6,42.4
Cuba,No,CUP,7.0,Yes in most,,,,,,,,,5.0,2008,27.3,17.8,37.4,37.8,25.5,51.6,37.8,25.5,51.6
Cyprus,No,EUR,2.82,Yes in some,,,,,,,,,,2008,32.5,24.5,40.5,40.0,29.5,51.4,40.0,29.5,51.4
Czechia,No,CZK,53.0,Yes in some,,,,,,,,,,2008,28.4,23.3,34.0,33.4,27.6,38.8,33.4,27.6,38.8
Côte d’Ivoire,No,XOF,700.0,No,,,,,,,,,2.0,2008,12.6,7.1,19.6,15.5,9.0,24.7,3.4,1.3,6.8
Democratic People's Republic of Korea,,KPW,20.0,Yes in most,,,,,,,,,,2008,16.8,9.5,23.5,20.3,14.5,27.0,20.3,14.5,27.0
Denmark,No,DKK,32.0,Yes in some,,,,,,,,,,2008,25.8,20.7,30.8,28.5,23.5,33.8,28.5,23.5,33.8
Dominican Republic,No,DOP,100.0,No,,,,,,,,,,2008,13.6,10.5,16.9,14.3,9.8,19.5,14.3,9.8,19.5
Egypt,No,EGP,2.75,Yes in some,,,,,,,,,3.0,2008,16.2,12.7,19.8,21.3,17.2,25.3,21.3,17.2,25.3
El Salvador,No,USD,1.4,Yes in some,,,,,,,,,4.0,2008,19.4,12.0,28.0,23.1,14.9,33.4,28.6,18.1,41.4
Eritrea,No,ERN,25.0,No,,,,,,,,,,2008,11.9,6.9,16.6,14.5,10.3,18.8,10.2,7.1,13.7
Estonia,No,EEK,32.18,Yes in some,,,,,,,,,,2008,32.9,25.8,39.9,36.4,30.6,42.8,36.4,30.6,42.8
Eswatini,,SZL,27.5,No,,,,,,,,,,2008,15.0,11.9,18.4,2.4,1.8,3.3,18.8,14.6,22.7
Ethiopia,,ETB,4.35,No,,,,,,,,,,2008,3.6,2.8,4.4,4.2,3.2,5.2,10.5,7.6,13.0
Fiji,,FJD,4.6,No,,,,,,,,,,2008,24.4,14.1,36.0,29.9,20.0,40.4,29.9,20.0,40.4
Finland,No,EUR,4.07,Yes in most,,,,,,,,,,2008,22.0,16.7,26.8,25.0,20.8,28.9,25.0,20.8,28.9
France,No,EUR,5.3,Yes in some,,,,,,,,,,2008,31.4,24.4,38.6,34.5,28.3,41.1,34.5,28.3,41.1
Gambia,,GMD,10.0,No,,,,,,,,,,2008,13.5,9.3,18.4,18.0,12.6,24.0,2.8,1.9,3.9
Georgia,No,GEL,1.8,No,,,,,,,,,,2008,5.3,4.2,6.6,5.7,4.6,6.9,5.7,4.6,6.9
Germany,No,EUR,4.71,Yes in some,,,,,,,,,,2008,28.9,23.4,34.0,31.2,25.8,36.3,31.2,25.8,36.3
Ghana,,GHS,1.5,Yes in some,,,,,,,,,,2008,3.6,2.5,4.7,4.8,3.3,6.1,5.1,3.9,6.6
Greece,No,EUR,3.0,Yes in some,,,,,,,,,,2008,41.1,31.4,51.5,45.3,34.8,56.6,45.3,34.8,56.6
Guyana,,GYD,240.0,No,,,,,,,,,,2008,3.8,2.4,5.1,3.8,2.4,5.1,3.8,2.4,5.1
Haiti,,,,No,,,,,,,,,,2008,3.5,2.5,4.7,16.0,0.0,0.0,16.0,0.0,0.0
Hungary,No,HUF,568.4,,,,,,,,,,,2008,33.5,26.4,40.7,35.9,29.5,42.6,35.9,29.5,42.6
Iceland,No,ISK,665.0,Yes in some,,,,,,,,,,2008,17.6,10.4,25.3,22.1,16.3,28.5,22.1,16.3,28.5
India,Yes,INR,58.0,Yes in some,,,,,,,,,2.0,2008,13.0,9.8,16.2,23.8,19.1,28.7,38.5,29.6,49.7
Indonesia,,IDR,12500.0,Yes in some,,,,,,,,,3.0,2008,30.7,24.8,36.9,30.7,24.8,36.9,39.3,32.3,47.2
Iran (Islamic Republic of),Yes,IRR,4739.0,Yes in some,,,,,,,,,5.0,2008,11.3,8.2,14.6,25.1,20.3,30.4,30.7,25.5,37.4
Iraq,,IQD,500.0,No,,,,,,,,,,2008,28.8,18.2,41.5,37.1,27.8,48.3,44.4,32.9,56.5
Ireland,No,EUR,8.05,Yes in some,,,,,,,,,,2008,26.9,21.7,32.4,30.2,24.0,37.2,30.2,24.0,37.2
Israel,No,ILS,19.0,Yes in some,,,,,,,,,,2008,24.6,19.8,29.1,28.7,23.2,35.3,28.7,23.2,35.3
Italy,No,EUR,3.6,Yes in some,,,,,,,,,,2008,24.5,20.4,28.0,25.1,21.4,29.5,25.1,21.4,29.5
Jamaica,,JMD,405.0,Yes in most,,,,,,,,,,2008,19.4,13.6,24.9,24.0,14.8,34.3,24.0,14.8,34.3
Japan,No,JPY,300.0,Yes in some,,,,,,,,,,2008,27.2,22.7,31.7,28.3,23.6,32.9,28.3,23.6,32.9
Kazakhstan,No,KZT,90.0,,,,,,,,,,,2008,46.8,39.3,56.2,50.1,41.1,59.4,50.1,41.1,59.4
Kenya,No,KES,80.0,Yes in some,,,,,,,,,,2008,11.0,9.0,13.4,13.6,10.4,16.6,27.1,22.0,32.7
Kiribati,,AUD,6.4,Yes in most,,,,,,,,,,2008,49.3,28.6,68.9,61.2,46.6,76.3,61.2,46.6,76.3
Kuwait,,KWD,0.47,Yes in most,,,,,,,,,,2008,2.3,1.1,3.5,37.0,29.4,45.7,43.6,33.5,54.9
Kyrgyzstan,Yes,KGS,22.0,Yes in most,,,,,,,,,,2008,3.7,2.7,4.8,4.3,3.1,5.7,4.3,3.1,5.7
Lao People's Democratic Republic,,LAK,5000.0,No,,,,,,,,,,2008,50.2,39.0,63.7,36.6,29.0,43.8,51.1,39.8,62.3
Latvia,,LVL,1.48,Yes in some,,,,,,,,,,2008,34.6,26.8,42.0,39.0,31.9,45.5,39.0,31.9,45.5
Lebanon,No,LBP,2000.0,No,,,,,,,,,,2008,29.6,21.7,37.2,34.4,25.7,44.0,43.3,29.3,59.4
Lesotho,,LSL,22.0,Yes in most,,,,,,,,,,2008,16.3,12.4,20.9,20.8,14.9,27.2,42.5,34.2,51.6
Liberia,,LRD,50.0,Yes in some,,,,,,,,,,2008,15.8,9.6,22.0,2.1,1.5,2.8,18.9,14.2,24.0
Lithuania,No,LTL,5.0,Yes in some,,,,,,,,,,2008,29.3,22.9,35.6,32.4,27.1,38.1,32.4,27.1,38.1
Luxembourg,No,EUR,3.2,,,,,,,,,,,2008,23.9,19.1,28.7,26.2,22.0,30.9,26.2,22.0,30.9
Madagascar,No,MGA,1400.0,No,,,,,,,,,3.0,2008,16.4,12.1,20.9,22.7,15.4,30.7,36.5,27.7,46.4
Malawi,,MWK,150.0,No,,,,,,,,,,2008,2.7,1.5,3.9,26.7,22.4,31.9,29.8,24.2,36.0
Malaysia,,MYR,9.0,Yes in some,,,,,,,,,,2008,21.8,15.8,27.9,25.7,20.5,30.7,25.7,20.5,30.7
Mali,No,XOF,700.0,No,,,,,,,,,,2008,18.2,13.4,22.5,2.6,1.5,3.9,2.6,1.5,3.9
Malta,,EUR,3.59,Yes in some,,,,,,,,,,2008,26.9,20.8,33.0,30.1,24.6,36.1,30.1,24.6,36.1
Mauritius,,MUR,65.0,No,,,,,,,,,,2008,3.6,2.9,4.5,4.2,3.3,5.2,54.1,36.3,72.3
Mexico,No,MXN,28.0,Yes in most,,,,,,,,,,2008,26.7,22.0,31.7,29.0,24.4,34.4,29.0,24.4,34.4
Mongolia,No,MNT,500.0,Yes in some,,,,,,,,,2.0,2008,42.6,27.3,56.6,52.2,42.5,64.9,57.6,44.8,72.5
Morocco,No,MAD,17.5,Yes in most,,,,,,,,,,2008,14.8,11.3,18.3,17.4,14.1,21.1,19.4,15.4,24.6
Mozambique,No,MZN,15.0,No,,,,,,,,,,2008,2.3,1.3,3.4,34.5,24.0,44.4,33.7,26.8,42.0
Myanmar,,MMK,1050.0,Yes in some,,,,,,,,,5.0,2008,39.7,29.6,50.9,29.9,23.4,36.7,55.4,44.3,68.8
Namibia,,NAD,23.0,No,,,,,,,,,,2008,21.5,17.2,26.8,21.8,16.6,27.2,21.9,6.0,9.8
Nauru,,AUD,4.4,No,,,,,,,,,,2008,43.4,26.9,60.2,53.3,40.2,69.3,62.8,47.1,80.6
Nepal,,NPR,65.0,Yes in some,,,,,,,,,,2008,27.4,22.2,32.8,30.8,25.5,36.4,49.0,40.0,58.6
Netherlands,No,EUR,4.74,Yes in most,,,,,,,,,,2008,24.3,18.1,30.1,28.4,24.0,33.4,28.4,24.0,33.4
New Zealand,No,NZD,10.0,Yes in most,,,,,,,,,10.0,2008,21.5,17.9,24.9,22.5,18.9,26.1,22.5,18.9,26.1
Niger,,XOF,400.0,No,,,,,,,,,,2008,10.9,7.8,14.0,12.8,10.5,15.7,14.5,11.3,17.7
Nigeria,,NGN,180.0,Yes in some,,,,,,,,,0.0,2008,4.5,3.2,6.0,5.2,4.1,6.6,11.2,8.2,14.0
Norway,No,NOK,71.0,Yes in some,,,,,,,,,,2008,24.5,16.7,32.3,30.8,26.4,35.8,20.7,17.4,23.8
Oman,No,OMR,0.6,No,,,,,,,,,8.0,2008,10.7,8.0,13.5,14.2,11.4,17.0,18.1,13.3,23.0
Pakistan,,PKR,18.4,Yes in some,,,,,,,,,2.0,2008,28.9,22.0,37.8,37.6,29.0,46.6,30.7,22.9,38.9
Palau,,USD,3.5,Yes in some,,,,,,,,,9.0,2008,26.3,13.5,36.6,22.2,14.9,29.1,29.5,18.5,41.5
Panama,Yes,USD,1.96,Yes in some,,,,,,,,,5.0,2008,3.1,2.2,3.9,16.5,13.0,20.5,19.1,13.4,25.2
Paraguay,,PYG,1000.0,Yes in some,,,,,,,,,5.0,2008,27.5,18.7,38.2,32.9,26.4,40.4,32.9,26.4,40.4
Peru,Yes,PEN,4.0,No,,,,,,,,,5.0,2008,30.2,21.2,40.1,33.0,22.3,43.5,33.0,22.3,43.5
Philippines,No,PHP,12.23,No,,,,,,,,,5.0,2008,46.0,37.3,55.1,30.5,24.9,35.6,30.5,24.9,35.6
Poland,No,PLN,5.75,Yes in some,,,,,,,,,,2008,31.8,25.4,38.0,34.1,27.6,40.5,34.1,27.6,40.5
Portugal,No,EUR,3.3,Yes in some,,,,,,,,,,2008,23.1,17.6,28.4,26.1,21.3,31.2,26.1,21.3,31.2
Qatar,No,QAR,6.0,Yes in some,,,,,,,,,,2008,10.1,6.6,14.4,12.7,9.1,17.1,14.9,11.0,19.2
Republic of Korea,,KRW,2500.0,Yes in some,,,,,,,,,6.0,2008,48.9,41.4,58.2,51.7,43.5,60.3,51.7,43.5,60.3
Republic of Moldova,,MDL,6.0,No,,,,,,,,,,2008,39.3,32.2,47.4,43.8,35.9,52.1,43.8,35.9,52.1
Romania,No,RON,6.5,Yes in some,,,,,,,,,,2008,30.8,24.4,37.2,34.4,28.6,41.1,34.4,28.6,41.1
Russian Federation,No,RUB,25.0,No,,,,,,,,,,2008,30.9,25.8,35.7,31.5,26.4,36.8,31.5,26.4,36.8
Rwanda,,RWF,500.0,No,,,,,,,,,,2008,16.9,11.5,22.2,24.3,17.5,31.5,24.6,18.5,31.4
Samoa,No,WST,7.8,No,,,,,,,,,,2008,28.7,21.5,37.5,35.6,26.7,44.3,35.6,26.7,44.3
Sao Tome and Principe,,STD,20000.0,No,,,,,,,,,,2008,4.0,2.7,5.7,4.6,3.5,6.0,5.9,4.3,7.6
Saudi Arabia,,SAR,6.0,Yes in most,,,,,,,,,0.0,2008,2.1,1.3,3.0,2.9,2.0,3.8,3.3,1.9,4.8
